,Sample_1,Sample_2,bMNTD,mean_bMNTD,sd_bMNTD,bNTI,Group_1,Group_2,Site1,Site2,RCb,process
1,G02,G01,0.002679328,0.002810352,0.000199573,-0.656521295,G0GE.S,G0GE.S,G01,G02,1,dispersal limitation
2,G03,G01,0.002491331,0.002198534,0.000155679,1.880777747,G0GE.S,G0GE.S,G01,G03,1,dispersal limitation
3,G04,G01,0.002563102,0.002332636,0.000232284,0.992176455,G0GE.S,G0GE.S,G01,G04,1,dispersal limitation
4,G151,G01,0.004536557,0.004693766,0.000492013,-0.319521243,G15GE.S,G0GE.S,G01,G151,1,dispersal limitation
5,G152,G01,0.01014393,0.005870685,0.00063134,6.768533339,G15GE.S,G0GE.S,G01,G152,1,variable selection
6,G153,G01,0.005039143,0.004817968,0.000581322,0.380469295,G15GE.S,G0GE.S,G01,G153,1,dispersal limitation
7,G154,G01,0.006586019,0.005682643,0.000551696,1.637454127,G15GE.S,G0GE.S,G01,G154,1,dispersal limitation
8,G281,G01,0.003285991,0.003016244,0.00026608,1.013782272,G28GE.S,G0GE.S,G01,G281,1,dispersal limitation
9,G282,G01,0.002670852,0.002645396,0.000220471,0.115460362,G28GE.S,G0GE.S,G01,G282,1,dispersal limitation
10,G283,G01,0.003779782,0.003765989,0.000283914,0.04858268,G28GE.S,G0GE.S,G01,G283,1,dispersal limitation
11,G284,G01,0.002810644,0.00309046,0.000286732,-0.975878275,G28GE.S,G0GE.S,G01,G284,1,dispersal limitation
12,G361,G01,0.016289378,0.008786489,0.000859035,8.734094377,G36GE.S,G0GE.S,G01,G361,1,variable selection
13,G362,G01,0.010612456,0.007832632,0.00073985,3.757277504,G36GE.S,G0GE.S,G01,G362,1,variable selection
14,G363,G01,0.007186471,0.007041092,0.000550342,0.264160651,G36GE.S,G0GE.S,G01,G363,1,dispersal limitation
15,G364,G01,0.009845965,0.006907401,0.000588723,4.991422977,G36GE.S,G0GE.S,G01,G364,1,variable selection
16,G51,G01,0.00395438,0.003719209,0.000248523,0.946272838,G5GE.S,G0GE.S,G01,G51,1,dispersal limitation
17,G52,G01,0.003719282,0.003846175,0.000307166,-0.413110549,G5GE.S,G0GE.S,G01,G52,1,dispersal limitation
18,G53,G01,0.003206817,0.003359903,0.000196463,-0.779211653,G5GE.S,G0GE.S,G01,G53,1,dispersal limitation
19,G54,G01,0.00376396,0.003731708,0.0002695,0.119673605,G5GE.S,G0GE.S,G01,G54,1,dispersal limitation
20,L151,G01,0.009282308,0.007826278,0.000808693,1.800471283,L15AL.S,G0GE.S,G01,L151,1,dispersal limitation
21,L152,G01,0.014680131,0.008396176,0.001064248,5.904598991,L15AL.S,G0GE.S,G01,L152,1,variable selection
22,L153,G01,0.010537579,0.008117997,0.000745607,3.245118988,L15AL.S,G0GE.S,G01,L153,1,variable selection
23,L154,G01,0.038035127,0.011454846,0.001842125,14.4291438,L15AL.S,G0GE.S,G01,L154,0.9,variable selection
24,L21,G01,0.012986446,0.011027587,0.000876813,2.234067929,L2AL.S,G0GE.S,G01,L21,0.9,variable selection
25,L22,G01,0.01248128,0.010229649,0.000861775,2.612781825,L2AL.S,G0GE.S,G01,L22,1,variable selection
26,L23,G01,0.015370868,0.010984894,0.000943318,4.649516538,L2AL.S,G0GE.S,G01,L23,1,variable selection
27,L24,G01,0.142627128,0.042291329,0.010408546,9.639751353,L2AL.S,G0GE.S,G01,L24,1,variable selection
28,L251,G01,0.012735471,0.010574769,0.001013949,2.130977259,L25AL.S,G0GE.S,G01,L251,1,variable selection
29,L252,G01,0.010717679,0.008403617,0.000798339,2.898594587,L25AL.S,G0GE.S,G01,L252,1,variable selection
30,L253,G01,0.01501066,0.008932245,0.000973171,6.245989827,L25AL.S,G0GE.S,G01,L253,1,variable selection
31,L254,G01,0.010259087,0.008382564,0.000768309,2.442406287,L25AL.S,G0GE.S,G01,L254,1,variable selection
32,L401,G01,0.008231837,0.00799848,0.000735216,0.317399288,L40AL.S,G0GE.S,G01,L401,1,dispersal limitation
33,L402,G01,0.008961131,0.006931939,0.000484594,4.187405434,L40AL.S,G0GE.S,G01,L402,1,variable selection
34,L403,G01,0.008640624,0.007196068,0.000583959,2.473728028,L40AL.S,G0GE.S,G01,L403,1,variable selection
35,L404,G01,0.008092425,0.007640892,0.00042548,1.061231352,L40AL.S,G0GE.S,G01,L404,1,dispersal limitation
36,RBG0C1,G01,0.005770416,0.004822145,0.000331669,2.859085633,RB.G0.CGE.RB,G0GE.S,G01,RBG0C1,1,variable selection
37,RBG0C2,G01,0.007016621,0.005033168,0.000483936,4.09858207,RB.G0.CGE.RB,G0GE.S,G01,RBG0C2,1,variable selection
38,RBG0C3,G01,0.005127747,0.004140381,0.000338062,2.920661319,RB.G0.CGE.RB,G0GE.S,G01,RBG0C3,1,variable selection
39,RBG0C4,G01,0.005903148,0.004521046,0.000290609,4.755886183,RB.G0.CGE.RB,G0GE.S,G01,RBG0C4,1,variable selection
40,RBG15C1,G01,0.013675526,0.010061147,0.000729995,4.951238145,RB.G15.CGE.RB,G0GE.S,G01,RBG15C1,1,variable selection
41,RBG15C2,G01,0.011416907,0.009935838,0.000722653,2.049488455,RB.G15.CGE.RB,G0GE.S,G01,RBG15C2,1,variable selection
42,RBG15C3,G01,0.012837521,0.008831516,0.000567237,7.062314986,RB.G15.CGE.RB,G0GE.S,G01,RBG15C3,1,variable selection
43,RBG15C4,G01,0.012261219,0.010292828,0.00071801,2.741455317,RB.G15.CGE.RB,G0GE.S,G01,RBG15C4,1,variable selection
44,RBG15D1,G01,0.010839247,0.008727082,0.001173908,1.799258649,RB.G15.DGE.RB,G0GE.S,G01,RBG15D1,1,dispersal limitation
45,RBG15D2,G01,0.012894356,0.009774015,0.001316351,2.370447872,RB.G15.DGE.RB,G0GE.S,G01,RBG15D2,1,variable selection
46,RBG15D3,G01,0.028442286,0.011142182,0.002388359,7.243511218,RB.G15.DGE.RB,G0GE.S,G01,RBG15D3,1,variable selection
47,RBG15D4,G01,0.011201522,0.007692173,0.000793161,4.424512191,RB.G15.DGE.RB,G0GE.S,G01,RBG15D4,1,variable selection
48,RBG28D1,G01,0.009140266,0.006941865,0.000580176,3.789195294,RB.G28.DGE.RB,G0GE.S,G01,RBG28D1,1,variable selection
49,RBG28D2,G01,0.009039957,0.006921614,0.000692005,3.061167932,RB.G28.DGE.RB,G0GE.S,G01,RBG28D2,1,variable selection
50,RBG28D3,G01,0.010458331,0.00825192,0.000761854,2.896106708,RB.G28.DGE.RB,G0GE.S,G01,RBG28D3,1,variable selection
51,RBG28D4,G01,0.011632001,0.006867929,0.000633667,7.518259596,RB.G28.DGE.RB,G0GE.S,G01,RBG28D4,1,variable selection
52,RBG28J1,G01,0.00873499,0.006794296,0.000438632,4.424428939,RB.G28.JGE.RB,G0GE.S,G01,RBG28J1,1,variable selection
53,RBG28J2,G01,0.009328096,0.006125198,0.000450695,7.106582042,RB.G28.JGE.RB,G0GE.S,G01,RBG28J2,1,variable selection
54,RBG28J3,G01,0.012968103,0.008650951,0.000736575,5.861116328,RB.G28.JGE.RB,G0GE.S,G01,RBG28J3,1,variable selection
55,RBG28J4,G01,0.008281769,0.006072969,0.000627873,3.517907201,RB.G28.JGE.RB,G0GE.S,G01,RBG28J4,1,variable selection
56,RBG36D1,G01,0.015165951,0.011226336,0.000907582,4.340779865,RB.G36.DGE.RB,G0GE.S,G01,RBG36D1,0.8,variable selection
57,RBG36D2,G01,0.016573305,0.012271111,0.001205262,3.569508844,RB.G36.DGE.RB,G0GE.S,G01,RBG36D2,0.4,variable selection
58,RBG36D3,G01,0.134615561,0.023694459,0.008612619,12.87890503,RB.G36.DGE.RB,G0GE.S,G01,RBG36D3,-0.9,variable selection
59,RBG36D4,G01,0.020958148,0.011995757,0.001069972,8.376282596,RB.G36.DGE.RB,G0GE.S,G01,RBG36D4,0.3,variable selection
60,RBG36G1,G01,0.022356603,0.014103818,0.001353683,6.096539787,RB.G36.GGE.RB,G0GE.S,G01,RBG36G1,-0.5,variable selection
61,RBG36G2,G01,0.019680216,0.013605201,0.001324417,4.586934289,RB.G36.GGE.RB,G0GE.S,G01,RBG36G2,-0.3,variable selection
62,RBG36G3,G01,0.020200782,0.014723075,0.001872132,2.925919768,RB.G36.GGE.RB,G0GE.S,G01,RBG36G3,-0.9,variable selection
63,RBG36G4,G01,0.018201734,0.013069438,0.001511124,3.396343061,RB.G36.GGE.RB,G0GE.S,G01,RBG36G4,-0.1,variable selection
64,RBG5C1,G01,0.007070099,0.005119266,0.000327227,5.961717953,RB.G5.CGE.RB,G0GE.S,G01,RBG5C1,1,variable selection
65,RBG5C2,G01,0.009301074,0.006630199,0.000373238,7.155952018,RB.G5.CGE.RB,G0GE.S,G01,RBG5C2,1,variable selection
66,RBG5C3,G01,0.008438278,0.005699629,0.000449586,6.091488283,RB.G5.CGE.RB,G0GE.S,G01,RBG5C3,1,variable selection
67,RBG5C4,G01,0.006452499,0.005514304,0.000428366,2.19017391,RB.G5.CGE.RB,G0GE.S,G01,RBG5C4,1,variable selection
68,RBG5D1,G01,0.006487188,0.006165735,0.00132473,0.242655584,RB.G5.DGE.RB,G0GE.S,G01,RBG5D1,1,dispersal limitation
69,RBG5D2,G01,0.009501834,0.006285187,0.00051844,6.204476066,RB.G5.DGE.RB,G0GE.S,G01,RBG5D2,1,variable selection
70,RBG5D3,G01,0.00849811,0.008096577,0.001362265,0.294753562,RB.G5.DGE.RB,G0GE.S,G01,RBG5D3,1,dispersal limitation
71,RBG5D4,G01,0.006720639,0.006548317,0.001281957,0.134421348,RB.G5.DGE.RB,G0GE.S,G01,RBG5D4,1,dispersal limitation
72,RBL15B1,G01,0.015867499,0.011541584,0.000555466,7.787903814,RB.L15.BAL.RB,G0GE.S,G01,RBL15B1,0.1,variable selection
73,RBL15B2,G01,0.014752561,0.011013983,0.000688387,5.430923564,RB.L15.BAL.RB,G0GE.S,G01,RBL15B2,-0.3,variable selection
74,RBL15B3,G01,0.015875837,0.013189228,0.000898456,2.990251624,RB.L15.BAL.RB,G0GE.S,G01,RBL15B3,-0.8,variable selection
75,RBL15B4,G01,0.013800238,0.011455265,0.001104087,2.123902414,RB.L15.BAL.RB,G0GE.S,G01,RBL15B4,0,variable selection
76,RBL15S1,G01,0.02209861,0.016171923,0.002982408,1.987215476,RB.L15.SAL.RB,G0GE.S,G01,RBL15S1,-0.9,undominated processes
77,RBL15S2,G01,0.052785393,0.016967767,0.002559736,13.99270563,RB.L15.SAL.RB,G0GE.S,G01,RBL15S2,-0.8,variable selection
78,RBL15S3,G01,0.024379277,0.018242674,0.003471822,1.767545535,RB.L15.SAL.RB,G0GE.S,G01,RBL15S3,-1,homogenizing dispersal
79,RBL15S4,G01,0.024368457,0.016344392,0.003115671,2.575388829,RB.L15.SAL.RB,G0GE.S,G01,RBL15S4,-0.9,variable selection
80,RBL25B1,G01,0.040260842,0.018381515,0.001611164,13.57982582,RB.L25.BAL.RB,G0GE.S,G01,RBL25B1,-0.9,variable selection
81,RBL25B2,G01,0.0179538,0.013218969,0.001243722,3.80698448,RB.L25.BAL.RB,G0GE.S,G01,RBL25B2,-1,variable selection
82,RBL25B3,G01,0.017553001,0.013978188,0.001461698,2.445657278,RB.L25.BAL.RB,G0GE.S,G01,RBL25B3,-0.4,variable selection
83,RBL25B4,G01,0.016664929,0.013376147,0.001555216,2.11467817,RB.L25.BAL.RB,G0GE.S,G01,RBL25B4,-0.8,variable selection
84,RBL25S1,G01,0.019666444,0.01326563,0.001026167,6.23759672,RB.L25.SAL.RB,G0GE.S,G01,RBL25S1,-0.8,variable selection
85,RBL25S2,G01,0.020530794,0.017180851,0.002053892,1.631022047,RB.L25.SAL.RB,G0GE.S,G01,RBL25S2,-1,homogenizing dispersal
86,RBL25S3,G01,0.019461378,0.01380115,0.00129043,4.386312016,RB.L25.SAL.RB,G0GE.S,G01,RBL25S3,-0.4,variable selection
87,RBL25S4,G01,0.026831375,0.018154252,0.003225138,2.6904656,RB.L25.SAL.RB,G0GE.S,G01,RBL25S4,-0.9,variable selection
88,RBL40B1,G01,0.012180504,0.010251045,0.000787712,2.449448868,RB.L40.BAL.RB,G0GE.S,G01,RBL40B1,0.3,variable selection
89,RBL40B2,G01,0.014242954,0.011288384,0.000713676,4.139932631,RB.L40.BAL.RB,G0GE.S,G01,RBL40B2,0.4,variable selection
90,RBL40B3,G01,0.014782234,0.009188071,0.000641325,8.722816335,RB.L40.BAL.RB,G0GE.S,G01,RBL40B3,1,variable selection
91,RBL40B4,G01,0.021495223,0.011628111,0.000841168,11.73024658,RB.L40.BAL.RB,G0GE.S,G01,RBL40B4,-0.2,variable selection
92,RBL40S1,G01,0.031351114,0.018100277,0.003827574,3.461941804,RB.L40.SAL.RB,G0GE.S,G01,RBL40S1,-1,variable selection
93,RBL40S2,G01,0.029762212,0.017234741,0.002381732,5.259815692,RB.L40.SAL.RB,G0GE.S,G01,RBL40S2,-1,variable selection
94,RBL40S3,G01,0.135626864,0.028168135,0.009837418,10.92346935,RB.L40.SAL.RB,G0GE.S,G01,RBL40S3,-1,variable selection
95,RBL40S4,G01,0.032856466,0.017383575,0.003726316,4.15232956,RB.L40.SAL.RB,G0GE.S,G01,RBL40S4,-0.8,variable selection
96,RG0C1,G01,0.039571087,0.013156483,0.00212272,12.44375443,R.G0.CGE.R,G0GE.S,G01,RG0C1,0.9,variable selection
97,RG0C2,G01,0.02981855,0.014782404,0.002717555,5.532969472,R.G0.CGE.R,G0GE.S,G01,RG0C2,0.8,variable selection
98,RG0C3,G01,0.051225025,0.016310596,0.002250589,15.51346354,R.G0.CGE.R,G0GE.S,G01,RG0C3,0.9,variable selection
99,RG0C4,G01,0.052228821,0.015879813,0.001868053,19.45823314,R.G0.CGE.R,G0GE.S,G01,RG0C4,0.8,variable selection
100,RG15C1,G01,0.030643747,0.022549249,0.002738868,2.955417232,R.G15.CGE.R,G0GE.S,G01,RG15C1,-1,variable selection
101,RG15C2,G01,0.049157923,0.022653751,0.002326959,11.39004529,R.G15.CGE.R,G0GE.S,G01,RG15C2,-1,variable selection
102,RG15C3,G01,0.032926255,0.018958457,0.002057781,6.787795338,R.G15.CGE.R,G0GE.S,G01,RG15C3,-0.9,variable selection
103,RG15C4,G01,0.033133512,0.020929176,0.002241092,5.445710388,R.G15.CGE.R,G0GE.S,G01,RG15C4,-0.9,variable selection
104,RG15D1,G01,0.220476619,0.04214989,0.014132734,12.61799241,R.G15.DGE.R,G0GE.S,G01,RG15D1,0.1,variable selection
105,RG15D2,G01,0.026161943,0.016264,0.002000002,4.948967675,R.G15.DGE.R,G0GE.S,G01,RG15D2,-0.7,variable selection
106,RG15D3,G01,0.036736681,0.021134989,0.002858946,5.457148815,R.G15.DGE.R,G0GE.S,G01,RG15D3,-1,variable selection
107,RG15D4,G01,0.147148377,0.031716259,0.006194299,18.6352195,R.G15.DGE.R,G0GE.S,G01,RG15D4,-1,variable selection
108,RG28D1,G01,0.031836427,0.016114582,0.00244721,6.424394759,R.G28.DGE.R,G0GE.S,G01,RG28D1,0.7,variable selection
109,RG28D2,G01,0.019951179,0.012672631,0.002300776,3.16351844,R.G28.DGE.R,G0GE.S,G01,RG28D2,1,variable selection
110,RG28D3,G01,0.034538655,0.014930394,0.001942249,10.0956478,R.G28.DGE.R,G0GE.S,G01,RG28D3,0.4,variable selection
111,RG28D4,G01,0.039464871,0.018488416,0.003030306,6.922222879,R.G28.DGE.R,G0GE.S,G01,RG28D4,0.4,variable selection
112,RG28J1,G01,0.037664084,0.018332499,0.003758883,5.142906933,R.G28.JGE.R,G0GE.S,G01,RG28J1,0.3,variable selection
113,RG28J2,G01,0.034356713,0.017178491,0.002962945,5.797685871,R.G28.JGE.R,G0GE.S,G01,RG28J2,0,variable selection
114,RG28J3,G01,0.020999499,0.014555328,0.001781558,3.617155047,R.G28.JGE.R,G0GE.S,G01,RG28J3,0.5,variable selection
115,RG28J4,G01,0.028523826,0.015325514,0.00134578,9.807187248,R.G28.JGE.R,G0GE.S,G01,RG28J4,0.8,variable selection
116,RG36D1,G01,0.020600941,0.016838246,0.0026674,1.410622259,R.G36.DGE.R,G0GE.S,G01,RG36D1,-0.9,undominated processes
117,RG36D2,G01,0.02491058,0.016707564,0.001488976,5.50916567,R.G36.DGE.R,G0GE.S,G01,RG36D2,-1,variable selection
118,RG36D3,G01,0.031058476,0.022088297,0.002499929,3.588173772,R.G36.DGE.R,G0GE.S,G01,RG36D3,-1,variable selection
119,RG36D4,G01,0.017876821,0.017901746,0.002388058,-0.010437107,R.G36.DGE.R,G0GE.S,G01,RG36D4,-0.8,undominated processes
120,RG36G1,G01,0.034771275,0.023641816,0.003416827,3.257249823,R.G36.GGE.R,G0GE.S,G01,RG36G1,-1,variable selection
121,RG36G2,G01,0.04221075,0.022915025,0.003800209,5.077542888,R.G36.GGE.R,G0GE.S,G01,RG36G2,-1,variable selection
122,RG36G3,G01,0.043602357,0.026714706,0.003661769,4.611882974,R.G36.GGE.R,G0GE.S,G01,RG36G3,-1,variable selection
123,RG36G4,G01,0.032133604,0.023376506,0.002787777,3.14124748,R.G36.GGE.R,G0GE.S,G01,RG36G4,-0.8,variable selection
124,RG5C1,G01,0.035092928,0.01563983,0.001472329,13.21247065,R.G5.CGE.R,G0GE.S,G01,RG5C1,0,variable selection
125,RG5C2,G01,0.054367568,0.017457173,0.00224511,16.44034738,R.G5.CGE.R,G0GE.S,G01,RG5C2,0.1,variable selection
126,RG5C3,G01,0.066228179,0.018342898,0.002871141,16.67813674,R.G5.CGE.R,G0GE.S,G01,RG5C3,-0.2,variable selection
127,RG5C4,G01,0.018308772,0.012454943,0.001905003,3.072871834,R.G5.CGE.R,G0GE.S,G01,RG5C4,0.9,variable selection
128,RG5Z1,G01,0.014014901,0.010392286,0.00121452,2.982753509,R.G5.ZGE.R,G0GE.S,G01,RG5Z1,1,variable selection
129,RG5Z2,G01,0.011715363,0.008488779,0.00131932,2.445642293,R.G5.ZGE.R,G0GE.S,G01,RG5Z2,1,variable selection
130,RG5Z3,G01,0.012191812,0.010447676,0.002371155,0.735563897,R.G5.ZGE.R,G0GE.S,G01,RG5Z3,1,dispersal limitation
131,RG5Z4,G01,0.016227417,0.011076598,0.001563982,3.293401229,R.G5.ZGE.R,G0GE.S,G01,RG5Z4,1,variable selection
132,RJG0C1,G01,0.012123883,0.006892503,0.000662496,7.896472263,RJ.G0.CGE.RJ,G0GE.S,G01,RJG0C1,1,variable selection
133,RJG0C2,G01,0.012556724,0.006947831,0.000525257,10.67838617,RJ.G0.CGE.RJ,G0GE.S,G01,RJG0C2,1,variable selection
134,RJG0C3,G01,0.00586511,0.004436487,0.000383032,3.729777041,RJ.G0.CGE.RJ,G0GE.S,G01,RJG0C3,1,variable selection
135,RJG0C4,G01,0.015485385,0.007799383,0.000860144,8.935714947,RJ.G0.CGE.RJ,G0GE.S,G01,RJG0C4,1,variable selection
136,RJG15C1,G01,0.016001703,0.010264765,0.000862409,6.652225312,RJ.G15.CGE.RJ,G0GE.S,G01,RJG15C1,0.9,variable selection
137,RJG15C2,G01,0.02188424,0.009980469,0.000943129,12.62157686,RJ.G15.CGE.RJ,G0GE.S,G01,RJG15C2,0.9,variable selection
138,RJG15C3,G01,0.014534892,0.008060213,0.000568543,11.38820156,RJ.G15.CGE.RJ,G0GE.S,G01,RJG15C3,1,variable selection
139,RJG15C4,G01,0.017781022,0.009498685,0.000706111,11.72950901,RJ.G15.CGE.RJ,G0GE.S,G01,RJG15C4,1,variable selection
140,RJG15D1,G01,0.122737862,0.018529418,0.007159386,14.55550058,RJ.G15.DGE.RJ,G0GE.S,G01,RJG15D1,1,variable selection
141,RJG15D2,G01,0.017821093,0.009441988,0.001269198,6.601889655,RJ.G15.DGE.RJ,G0GE.S,G01,RJG15D2,1,variable selection
142,RJG15D3,G01,0.013134782,0.009664973,0.000722588,4.801920689,RJ.G15.DGE.RJ,G0GE.S,G01,RJG15D3,1,variable selection
143,RJG15D4,G01,0.014987362,0.007904138,0.000605993,11.68862402,RJ.G15.DGE.RJ,G0GE.S,G01,RJG15D4,1,variable selection
144,RJG28D1,G01,0.012780183,0.007373012,0.000814429,6.639214212,RJ.G28.DGE.RJ,G0GE.S,G01,RJG28D1,1,variable selection
145,RJG28D2,G01,0.014472617,0.006658537,0.000617972,12.64472387,RJ.G28.DGE.RJ,G0GE.S,G01,RJG28D2,1,variable selection
146,RJG28D3,G01,0.238561506,0.042993866,0.007954727,24.58508491,RJ.G28.DGE.RJ,G0GE.S,G01,RJG28D3,0.9,variable selection
147,RJG28D4,G01,0.011834929,0.006624253,0.001032052,5.048852083,RJ.G28.DGE.RJ,G0GE.S,G01,RJG28D4,1,variable selection
148,RJG28J1,G01,0.009355378,0.005877142,0.000297451,11.69349226,RJ.G28.JGE.RJ,G0GE.S,G01,RJG28J1,1,variable selection
149,RJG28J2,G01,0.009341838,0.005631635,0.000562064,6.601028195,RJ.G28.JGE.RJ,G0GE.S,G01,RJG28J2,1,variable selection
150,RJG28J3,G01,0.017269557,0.008270871,0.00088845,10.12852001,RJ.G28.JGE.RJ,G0GE.S,G01,RJG28J3,1,variable selection
151,RJG28J4,G01,0.012040325,0.005293154,0.000483123,13.96574743,RJ.G28.JGE.RJ,G0GE.S,G01,RJG28J4,1,variable selection
152,RJG36D1,G01,0.012959597,0.009722194,0.000575988,5.620609369,RJ.G36.DGE.RJ,G0GE.S,G01,RJG36D1,1,variable selection
153,RJG36D2,G01,0.012377518,0.011144908,0.000657122,1.875770661,RJ.G36.DGE.RJ,G0GE.S,G01,RJG36D2,0.9,undominated processes
154,RJG36D3,G01,0.017165908,0.012233378,0.001013682,4.865953419,RJ.G36.DGE.RJ,G0GE.S,G01,RJG36D3,0.1,variable selection
155,RJG36D4,G01,0.013978521,0.011984459,0.001358589,1.467745081,RJ.G36.DGE.RJ,G0GE.S,G01,RJG36D4,0.7,undominated processes
156,RJG36G1,G01,0.02128476,0.012748615,0.001124818,7.588910925,RJ.G36.GGE.RJ,G0GE.S,G01,RJG36G1,-0.5,variable selection
157,RJG36G2,G01,0.015912903,0.012517124,0.001288692,2.635059754,RJ.G36.GGE.RJ,G0GE.S,G01,RJG36G2,0.1,variable selection
158,RJG36G3,G01,0.018463168,0.013517183,0.001373389,3.601299824,RJ.G36.GGE.RJ,G0GE.S,G01,RJG36G3,-0.5,variable selection
159,RJG36G4,G01,0.013886143,0.010982243,0.001011633,2.870507086,RJ.G36.GGE.RJ,G0GE.S,G01,RJG36G4,0.6,variable selection
160,RJG5C1,G01,0.067329184,0.014193125,0.002707303,19.62693679,RJ.G5.CGE.RJ,G0GE.S,G01,RJG5C1,1,variable selection
161,RJG5C2,G01,0.031746067,0.009885161,0.002095249,10.43356123,RJ.G5.CGE.RJ,G0GE.S,G01,RJG5C2,1,variable selection
162,RJG5C3,G01,0.009488073,0.005706217,0.000423474,8.930557272,RJ.G5.CGE.RJ,G0GE.S,G01,RJG5C3,1,variable selection
163,RJG5C4,G01,0.035729041,0.009757347,0.001207019,21.51721617,RJ.G5.CGE.RJ,G0GE.S,G01,RJG5C4,1,variable selection
164,RJG5D1,G01,0.013585481,0.007151435,0.000646727,9.948624609,RJ.G5.DGE.RJ,G0GE.S,G01,RJG5D1,1,variable selection
165,RJG5D2,G01,0.014853498,0.006802046,0.000657497,12.24560943,RJ.G5.DGE.RJ,G0GE.S,G01,RJG5D2,1,variable selection
166,RJG5D3,G01,0.010164511,0.005721428,0.000398128,11.15993439,RJ.G5.DGE.RJ,G0GE.S,G01,RJG5D3,1,variable selection
167,RJG5D4,G01,0.010835406,0.006371644,0.000570952,7.81809815,RJ.G5.DGE.RJ,G0GE.S,G01,RJG5D4,1,variable selection
168,RJL15B1,G01,0.012982243,0.011233021,0.000633235,2.762356615,RJ.L15.BAL.RJ,G0GE.S,G01,RJL15B1,0.7,variable selection
169,RJL15B2,G01,0.012383768,0.010459669,0.000810366,2.374357539,RJ.L15.BAL.RJ,G0GE.S,G01,RJL15B2,0.2,variable selection
170,RJL15B3,G01,0.017240115,0.014015419,0.001410432,2.286318008,RJ.L15.BAL.RJ,G0GE.S,G01,RJL15B3,-0.7,variable selection
171,RJL15B4,G01,0.011509717,0.011149906,0.000948165,0.379482022,RJ.L15.BAL.RJ,G0GE.S,G01,RJL15B4,0.7,undominated processes
172,RJL15S1,G01,0.016044006,0.011401302,0.001426334,3.254991002,RJ.L15.SAL.RJ,G0GE.S,G01,RJL15S1,0,variable selection
173,RJL15S2,G01,0.014905216,0.011908196,0.001088485,2.753387143,RJ.L15.SAL.RJ,G0GE.S,G01,RJL15S2,-0.4,variable selection
174,RJL15S3,G01,0.01891773,0.012920927,0.002037275,2.943541049,RJ.L15.SAL.RJ,G0GE.S,G01,RJL15S3,0.4,variable selection
175,RJL15S4,G01,0.015693632,0.012461453,0.001616709,1.99923341,RJ.L15.SAL.RJ,G0GE.S,G01,RJL15S4,0,undominated processes
176,RJL25B1,G01,0.014004987,0.01157169,0.001098568,2.214972119,RJ.L25.BAL.RJ,G0GE.S,G01,RJL25B1,0.1,variable selection
177,RJL25B2,G01,0.017806242,0.014078026,0.001416277,2.632406707,RJ.L25.BAL.RJ,G0GE.S,G01,RJL25B2,-0.6,variable selection
178,RJL25B3,G01,0.017941236,0.013979915,0.001529791,2.589452383,RJ.L25.BAL.RJ,G0GE.S,G01,RJL25B3,-0.9,variable selection
179,RJL25B4,G01,0.013616274,0.011494365,0.001174086,1.807285501,RJ.L25.BAL.RJ,G0GE.S,G01,RJL25B4,0.4,undominated processes
180,RJL25S1,G01,0.050597202,0.021898897,0.002169456,13.22834099,RJ.L25.SAL.RJ,G0GE.S,G01,RJL25S1,-0.1,variable selection
181,RJL25S2,G01,0.016110602,0.013344,0.001557505,1.776303793,RJ.L25.SAL.RJ,G0GE.S,G01,RJL25S2,0,undominated processes
182,RJL25S3,G01,0.014404953,0.01262327,0.001595161,1.116929915,RJ.L25.SAL.RJ,G0GE.S,G01,RJL25S3,0.5,undominated processes
183,RJL25S4,G01,0.073218842,0.028569755,0.012680911,3.52096839,RJ.L25.SAL.RJ,G0GE.S,G01,RJL25S4,0.2,variable selection
184,RJL40B1,G01,0.082021104,0.0151829,0.00519938,12.85503259,RJ.L40.BAL.RJ,G0GE.S,G01,RJL40B1,0.9,variable selection
185,RJL40B2,G01,0.011394685,0.010727398,0.001068376,0.62457994,RJ.L40.BAL.RJ,G0GE.S,G01,RJL40B2,0.6,undominated processes
186,RJL40B3,G01,0.00910419,0.009182154,0.000975185,-0.079947968,RJ.L40.BAL.RJ,G0GE.S,G01,RJL40B3,1,dispersal limitation
187,RJL40B4,G01,0.011361539,0.009804722,0.000642164,2.424327985,RJ.L40.BAL.RJ,G0GE.S,G01,RJL40B4,0.8,variable selection
188,RJL40S1,G01,0.018697472,0.014198104,0.001313322,3.425943901,RJ.L40.SAL.RJ,G0GE.S,G01,RJL40S1,-0.1,variable selection
189,RJL40S2,G01,0.015797985,0.013158849,0.001311208,2.01275116,RJ.L40.SAL.RJ,G0GE.S,G01,RJL40S2,0,variable selection
190,RJL40S3,G01,0.020793187,0.014743466,0.002047875,2.954145524,RJ.L40.SAL.RJ,G0GE.S,G01,RJL40S3,0.1,variable selection
191,RJL40S4,G01,0.017490505,0.012729751,0.001279959,3.71945812,RJ.L40.SAL.RJ,G0GE.S,G01,RJL40S4,0,variable selection
192,RL15B1,G01,0.028300299,0.01910472,0.003254298,2.825672339,R.L15.BAL.R,G0GE.S,G01,RL15B1,-1,variable selection
193,RL15B2,G01,0.030888919,0.018534136,0.001823835,6.774068141,R.L15.BAL.R,G0GE.S,G01,RL15B2,-1,variable selection
