	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
116	RJG36D4	Rhizosphere	Stipa grandis	GE	RJ.G36D	non-d	36	Parcubacteria	6.67E-05
125	RJG5D1	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	Parcubacteria	1.33E-05
126	RJG5D2	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	Parcubacteria	1.33E-05
127	RJG5D3	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	Parcubacteria	5.35E-05
128	RJG5D4	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	Parcubacteria	5.35E-05
129	G01	Soil	Soil	GE	G0	Soil	0	BRC1	0.000220182
130	G02	Soil	Soil	GE	G0	Soil	0	BRC1	4.10E-05
131	G03	Soil	Soil	GE	G0	Soil	0	BRC1	7.04E-05
132	G04	Soil	Soil	GE	G0	Soil	0	BRC1	0.000109973
133	G151	Soil	Soil	GE	G15	Soil	15	BRC1	8.16E-05
134	G152	Soil	Soil	GE	G15	Soil	15	BRC1	0.00035039
135	G153	Soil	Soil	GE	G15	Soil	15	BRC1	0.000150294
136	G154	Soil	Soil	GE	G15	Soil	15	BRC1	0.000268536
137	G281	Soil	Soil	GE	G28	Soil	28	BRC1	1.37E-05
138	G282	Soil	Soil	GE	G28	Soil	28	BRC1	0.000136586
139	G283	Soil	Soil	GE	G28	Soil	28	BRC1	0.000161152
140	G284	Soil	Soil	GE	G28	Soil	28	BRC1	0.000148801
141	G361	Soil	Soil	GE	G36	Soil	36	BRC1	9.41E-05
142	G362	Soil	Soil	GE	G36	Soil	36	BRC1	0.000457561
143	G363	Soil	Soil	GE	G36	Soil	36	BRC1	0.000109834
144	G364	Soil	Soil	GE	G36	Soil	36	BRC1	0.000181861
145	G51	Soil	Soil	GE	G5	Soil	5	BRC1	0.000208805
146	G52	Soil	Soil	GE	G5	Soil	5	BRC1	2.70E-05
147	G53	Soil	Soil	GE	G5	Soil	5	BRC1	0.000161636
148	G54	Soil	Soil	GE	G5	Soil	5	BRC1	8.06E-05
157	RBG15D1	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	BRC1	0.000276884
158	RBG15D2	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	BRC1	0.000224094
159	RBG15D3	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	BRC1	0.000359172
160	RBG15D4	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	BRC1	0.000171724
161	RBG28D1	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	BRC1	8.01E-05
162	RBG28D2	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	BRC1	8.01E-05
163	RBG28D3	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	BRC1	0.00010667
164	RBG28D4	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	BRC1	3.41E-05
169	RBG36D1	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	BRC1	6.69E-05
170	RBG36D2	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	BRC1	5.35E-05
171	RBG36D3	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	BRC1	8.03E-05
172	RBG36D4	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	BRC1	0.000121351
181	RBG5D1	Rhizoplane	Stipa grandis	GE	RB.G5D	non-d	5	BRC1	5.29E-05
182	RBG5D2	Rhizoplane	Stipa grandis	GE	RB.G5D	non-d	5	BRC1	0.000119877
183	RBG5D3	Rhizoplane	Stipa grandis	GE	RB.G5D	non-d	5	BRC1	0.000132647
184	RBG5D4	Rhizoplane	Stipa grandis	GE	RB.G5D	non-d	5	BRC1	0.000184936
193	RG15D1	Endosphere	Stipa grandis	GE	R.G15D	dominant	15	BRC1	9.42E-05
194	RG15D2	Endosphere	Stipa grandis	GE	R.G15D	dominant	15	BRC1	0.000125181
195	RG15D3	Endosphere	Stipa grandis	GE	R.G15D	dominant	15	BRC1	0.000238874
196	RG15D4	Endosphere	Stipa grandis	GE	R.G15D	dominant	15	BRC1	3.03E-05
197	RG28D1	Endosphere	Stipa grandis	GE	R.G28D	dominant	28	BRC1	0.000115447
198	RG28D2	Endosphere	Stipa grandis	GE	R.G28D	dominant	28	BRC1	9.54E-05
199	RG28D3	Endosphere	Stipa grandis	GE	R.G28D	dominant	28	BRC1	6.84E-05
