	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
99	L253	Soil	Soil	AL	L25	NA	25	Parcubacteria	1.26E-05
100	L254	Soil	Soil	AL	L25	NA	25	Parcubacteria	0.00013795
101	L401	Soil	Soil	AL	L40	NA	40	Parcubacteria	0.000120951
102	L402	Soil	Soil	AL	L40	NA	40	Parcubacteria	0.000415867
103	L403	Soil	Soil	AL	L40	NA	40	Parcubacteria	0.000270215
104	L404	Soil	Soil	AL	L40	NA	40	Parcubacteria	0.000269538
109	RBL15S1	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Parcubacteria	2.66E-05
110	RBL15S2	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Parcubacteria	0.000108275
111	RBL15S3	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Parcubacteria	1.34E-05
112	RBL15S4	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Parcubacteria	2.50E-05
117	RBL25S1	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Parcubacteria	1.33E-05
118	RBL25S2	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Parcubacteria	1.32E-05
119	RBL25S3	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Parcubacteria	2.66E-05
120	RBL25S4	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Parcubacteria	7.94E-05
125	RBL40S1	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Parcubacteria	2.64E-05
126	RBL40S2	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Parcubacteria	1.32E-05
127	RBL40S3	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Parcubacteria	1.32E-05
128	RBL40S4	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Parcubacteria	1.76E-05
133	RJL15S1	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Parcubacteria	5.29E-05
134	RJL15S2	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Parcubacteria	2.69E-05
135	RJL15S3	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Parcubacteria	1.33E-05
136	RJL15S4	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Parcubacteria	1.33E-05
141	RJL25S1	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Parcubacteria	5.66E-05
142	RJL25S2	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Parcubacteria	1.33E-05
143	RJL25S3	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Parcubacteria	3.98E-05
144	RJL25S4	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Parcubacteria	3.66E-05
149	RJL40S1	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Parcubacteria	2.66E-05
150	RJL40S2	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Parcubacteria	1.33E-05
151	RJL40S3	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Parcubacteria	2.00E-05
152	RJL40S4	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Parcubacteria	3.98E-05
157	RL15S1	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Parcubacteria	2.68E-05
158	RL15S2	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Parcubacteria	2.68E-05
159	RL15S3	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Parcubacteria	2.68E-05
160	RL15S4	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Parcubacteria	2.68E-05
165	RL25S1	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Parcubacteria	1.46E-05
166	RL25S2	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Parcubacteria	1.46E-05
167	RL25S3	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Parcubacteria	1.46E-05
168	RL25S4	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Parcubacteria	1.46E-05
173	RL40S1	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Parcubacteria	1.66E-05
174	RL40S2	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Parcubacteria	1.66E-05
175	RL40S3	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Parcubacteria	1.66E-05
176	RL40S4	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Parcubacteria	1.66E-05
177	L151	Soil	Soil	AL	L15	NA	15	BRC1	0.000176417
178	L152	Soil	Soil	AL	L15	NA	15	BRC1	0.000108707
179	L153	Soil	Soil	AL	L15	NA	15	BRC1	0.000109459
180	L154	Soil	Soil	AL	L15	NA	15	BRC1	0.000137033
181	L21	Soil	Soil	AL	L2	NA	2	BRC1	0.000279791
182	L22	Soil	Soil	AL	L2	NA	2	BRC1	0.000293875
183	L23	Soil	Soil	AL	L2	NA	2	BRC1	0.000474714
184	L24	Soil	Soil	AL	L2	NA	2	BRC1	0.00034946
185	L251	Soil	Soil	AL	L25	NA	25	BRC1	0.000176293
