	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
97	L251	Soil	Soil	AL	L25	NA	25	Parcubacteria	0.000108488
98	L252	Soil	Soil	AL	L25	NA	25	Parcubacteria	0.000234373
99	L253	Soil	Soil	AL	L25	NA	25	Parcubacteria	1.26E-05
100	L254	Soil	Soil	AL	L25	NA	25	Parcubacteria	0.00013795
101	L401	Soil	Soil	AL	L40	NA	40	Parcubacteria	0.000120951
102	L402	Soil	Soil	AL	L40	NA	40	Parcubacteria	0.000415867
103	L403	Soil	Soil	AL	L40	NA	40	Parcubacteria	0.000270215
104	L404	Soil	Soil	AL	L40	NA	40	Parcubacteria	0.000269538
105	RBL15B1	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Parcubacteria	2.69E-05
106	RBL15B2	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Parcubacteria	2.68E-05
107	RBL15B3	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Parcubacteria	2.69E-05
108	RBL15B4	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Parcubacteria	2.69E-05
113	RBL25B1	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Parcubacteria	2.71E-05
114	RBL25B2	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Parcubacteria	0.000107312
115	RBL25B3	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Parcubacteria	2.71E-05
116	RBL25B4	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Parcubacteria	0.000107312
121	RBL40B1	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Parcubacteria	5.33E-05
122	RBL40B2	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Parcubacteria	0.000120128
123	RBL40B3	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Parcubacteria	9.29E-05
124	RBL40B4	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Parcubacteria	2.50E-05
129	RJL15B1	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Parcubacteria	6.74E-05
130	RJL15B2	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Parcubacteria	0.00010682
131	RJL15B3	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Parcubacteria	3.97E-05
132	RJL15B4	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Parcubacteria	0.000161954
137	RJL25B1	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Parcubacteria	0.000175219
138	RJL25B2	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Parcubacteria	0.000174452
139	RJL25B3	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Parcubacteria	9.41E-05
140	RJL25B4	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Parcubacteria	6.67E-05
145	RJL40B1	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Parcubacteria	2.68E-05
146	RJL40B2	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Parcubacteria	8.02E-05
147	RJL40B3	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Parcubacteria	3.98E-05
148	RJL40B4	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Parcubacteria	8.04E-05
153	RL15B1	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Parcubacteria	4.30E-05
154	RL15B2	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Parcubacteria	8.22E-05
155	RL15B3	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Parcubacteria	6.26E-05
156	RL15B4	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Parcubacteria	8.21E-05
161	RL25B1	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Parcubacteria	7.21E-05
162	RL25B2	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Parcubacteria	6.73E-05
163	RL25B3	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Parcubacteria	8.94E-05
164	RL25B4	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Parcubacteria	4.52E-05
169	RL40B1	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	Parcubacteria	1.41E-05
170	RL40B2	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	Parcubacteria	3.23E-05
171	RL40B3	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	Parcubacteria	1.56E-05
172	RL40B4	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	Parcubacteria	4.90E-05
177	L151	Soil	Soil	AL	L15	NA	15	BRC1	0.000176417
178	L152	Soil	Soil	AL	L15	NA	15	BRC1	0.000108707
179	L153	Soil	Soil	AL	L15	NA	15	BRC1	0.000109459
180	L154	Soil	Soil	AL	L15	NA	15	BRC1	0.000137033
181	L21	Soil	Soil	AL	L2	NA	2	BRC1	0.000279791
182	L22	Soil	Soil	AL	L2	NA	2	BRC1	0.000293875
183	L23	Soil	Soil	AL	L2	NA	2	BRC1	0.000474714
184	L24	Soil	Soil	AL	L2	NA	2	BRC1	0.00034946
185	L251	Soil	Soil	AL	L25	NA	25	BRC1	0.000176293
186	L252	Soil	Soil	AL	L25	NA	25	BRC1	9.65E-05
187	L253	Soil	Soil	AL	L25	NA	25	BRC1	0.000150907
188	L254	Soil	Soil	AL	L25	NA	25	BRC1	8.62E-05
189	L401	Soil	Soil	AL	L40	NA	40	BRC1	0.000107512
190	L402	Soil	Soil	AL	L40	NA	40	BRC1	0.000160981
191	L403	Soil	Soil	AL	L40	NA	40	BRC1	0.000108086
192	L404	Soil	Soil	AL	L40	NA	40	BRC1	0.000134769
193	RBL15B1	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	BRC1	0.000121126
194	RBL15B2	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	BRC1	0.000241242
195	RBL15B3	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	BRC1	9.37E-05
196	RBL15B4	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	BRC1	0.000121067
201	RBL25B1	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	BRC1	0.000214004
202	RBL25B2	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	BRC1	6.77E-05
203	RBL25B3	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	BRC1	9.48E-05
