	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
139	G283	Soil	Soil	GE	G28	Soil	28	BRC1	0.000161152
140	G284	Soil	Soil	GE	G28	Soil	28	BRC1	0.000148801
141	G361	Soil	Soil	GE	G36	Soil	36	BRC1	9.41E-05
142	G362	Soil	Soil	GE	G36	Soil	36	BRC1	0.000457561
143	G363	Soil	Soil	GE	G36	Soil	36	BRC1	0.000109834
144	G364	Soil	Soil	GE	G36	Soil	36	BRC1	0.000181861
145	G51	Soil	Soil	GE	G5	Soil	5	BRC1	0.000208805
146	G52	Soil	Soil	GE	G5	Soil	5	BRC1	2.70E-05
147	G53	Soil	Soil	GE	G5	Soil	5	BRC1	0.000161636
148	G54	Soil	Soil	GE	G5	Soil	5	BRC1	8.06E-05
149	RBG0C1	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	BRC1	7.91E-05
150	RBG0C2	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	BRC1	0.000158705
151	RBG0C3	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	BRC1	9.27E-05
152	RBG0C4	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	BRC1	0.000131963
153	RBG15C1	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	BRC1	0.000173319
154	RBG15C2	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	BRC1	0.000158751
155	RBG15C3	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	BRC1	0.000186331
156	RBG15C4	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	BRC1	0.000253465
177	RBG5C1	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	BRC1	7.98E-05
178	RBG5C2	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	BRC1	0.00010614
179	RBG5C3	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	BRC1	0.000105984
180	RBG5C4	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	BRC1	0.000226492
185	RG0C1	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	BRC1	5.16E-05
186	RG0C2	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	BRC1	0.000111684
187	RG0C3	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	BRC1	3.36E-05
188	RG0C4	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	BRC1	9.47E-05
189	RG15C1	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	BRC1	0.000512157
190	RG15C2	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	BRC1	0.000333827
191	RG15C3	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	BRC1	0.000324921
192	RG15C4	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	BRC1	0.000391673
213	RG5C1	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	BRC1	7.29E-05
214	RG5C2	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	BRC1	7.46E-05
