"","SampleID","Compartment","Cultivar","Site","Age","Group","Group0"
"65","RG15D1","Endosphere","Stipa grandis","GE",15,"Endosphere_Stipa grandis","R.G15D"
"66","RG15D2","Endosphere","Stipa grandis","GE",15,"Endosphere_Stipa grandis","R.G15D"
"67","RG15D3","Endosphere","Stipa grandis","GE",15,"Endosphere_Stipa grandis","R.G15D"
"68","RG15D4","Endosphere","Stipa grandis","GE",15,"Endosphere_Stipa grandis","R.G15D"
"69","RG28D1","Endosphere","Stipa grandis","GE",28,"Endosphere_Stipa grandis","R.G28D"
"70","RG28D2","Endosphere","Stipa grandis","GE",28,"Endosphere_Stipa grandis","R.G28D"
"71","RG28D3","Endosphere","Stipa grandis","GE",28,"Endosphere_Stipa grandis","R.G28D"
"72","RG28D4","Endosphere","Stipa grandis","GE",28,"Endosphere_Stipa grandis","R.G28D"
"73","RG28J1","Endosphere","Achnatherum splendens ","GE",28,"Endosphere_Achnatherum splendens ","R.G28J"
"74","RG28J2","Endosphere","Achnatherum splendens ","GE",28,"Endosphere_Achnatherum splendens ","R.G28J"
"75","RG28J3","Endosphere","Achnatherum splendens ","GE",28,"Endosphere_Achnatherum splendens ","R.G28J"
"76","RG28J4","Endosphere","Achnatherum splendens ","GE",28,"Endosphere_Achnatherum splendens ","R.G28J"
"77","RG36D1","Endosphere","Stipa grandis","GE",36,"Endosphere_Stipa grandis","R.G36D"
"78","RG36D2","Endosphere","Stipa grandis","GE",36,"Endosphere_Stipa grandis","R.G36D"
"79","RG36D3","Endosphere","Stipa grandis","GE",36,"Endosphere_Stipa grandis","R.G36D"
"80","RG36D4","Endosphere","Stipa grandis","GE",36,"Endosphere_Stipa grandis","R.G36D"
"81","RG36G1","Endosphere","Stipa przewalskyi ","GE",36,"Endosphere_Stipa przewalskyi ","R.G36G"
"82","RG36G2","Endosphere","Stipa przewalskyi ","GE",36,"Endosphere_Stipa przewalskyi ","R.G36G"
"83","RG36G3","Endosphere","Stipa przewalskyi ","GE",36,"Endosphere_Stipa przewalskyi ","R.G36G"
"84","RG36G4","Endosphere","Stipa przewalskyi ","GE",36,"Endosphere_Stipa przewalskyi ","R.G36G"
"85","RG5C1","Endosphere","Stipa bungeana","GE",5,"Endosphere_Stipa bungeana","R.G5C"
"86","RG5C2","Endosphere","Stipa bungeana","GE",5,"Endosphere_Stipa bungeana","R.G5C"
"87","RG5C3","Endosphere","Stipa bungeana","GE",5,"Endosphere_Stipa bungeana","R.G5C"
"88","RG5C4","Endosphere","Stipa bungeana","GE",5,"Endosphere_Stipa bungeana","R.G5C"
"89","RG5Z1","Endosphere","Stipa grandis","GE",5,"Endosphere_Stipa grandis","R.G5Z"
"90","RG5Z2","Endosphere","Stipa grandis","GE",5,"Endosphere_Stipa grandis","R.G5Z"
"91","RG5Z3","Endosphere","Stipa grandis","GE",5,"Endosphere_Stipa grandis","R.G5Z"
"92","RG5Z4","Endosphere","Stipa grandis","GE",5,"Endosphere_Stipa grandis","R.G5Z"
"93","RJG0C1","Rhizosphere","Stipa bungeana","GE",0,"Rhizosphere_Stipa bungeana","RJ.G0C"
"94","RJG0C2","Rhizosphere","Stipa bungeana","GE",0,"Rhizosphere_Stipa bungeana","RJ.G0C"
"95","RJG0C3","Rhizosphere","Stipa bungeana","GE",0,"Rhizosphere_Stipa bungeana","RJ.G0C"
"96","RJG0C4","Rhizosphere","Stipa bungeana","GE",0,"Rhizosphere_Stipa bungeana","RJ.G0C"
"97","RJG15C1","Rhizosphere","Stipa bungeana","GE",15,"Rhizosphere_Stipa bungeana","RJ.G15C"
"98","RJG15C2","Rhizosphere","Stipa bungeana","GE",15,"Rhizosphere_Stipa bungeana","RJ.G15C"
"99","RJG15C3","Rhizosphere","Stipa bungeana","GE",15,"Rhizosphere_Stipa bungeana","RJ.G15C"
"100","RJG15C4","Rhizosphere","Stipa bungeana","GE",15,"Rhizosphere_Stipa bungeana","RJ.G15C"
"101","RJG15D1","Rhizosphere","Stipa grandis","GE",15,"Rhizosphere_Stipa grandis","RJ.G15D"
"102","RJG15D2","Rhizosphere","Stipa grandis","GE",15,"Rhizosphere_Stipa grandis","RJ.G15D"
"103","RJG15D3","Rhizosphere","Stipa grandis","GE",15,"Rhizosphere_Stipa grandis","RJ.G15D"
"104","RJG15D4","Rhizosphere","Stipa grandis","GE",15,"Rhizosphere_Stipa grandis","RJ.G15D"
"105","RJG28D1","Rhizosphere","Stipa grandis","GE",28,"Rhizosphere_Stipa grandis","RJ.G28D"
"106","RJG28D2","Rhizosphere","Stipa grandis","GE",28,"Rhizosphere_Stipa grandis","RJ.G28D"
"107","RJG28D3","Rhizosphere","Stipa grandis","GE",28,"Rhizosphere_Stipa grandis","RJ.G28D"
"108","RJG28D4","Rhizosphere","Stipa grandis","GE",28,"Rhizosphere_Stipa grandis","RJ.G28D"
"109","RJG28J1","Rhizosphere","Achnatherum splendens ","GE",28,"Rhizosphere_Achnatherum splendens ","RJ.G28J"
"110","RJG28J2","Rhizosphere","Achnatherum splendens ","GE",28,"Rhizosphere_Achnatherum splendens ","RJ.G28J"
"111","RJG28J3","Rhizosphere","Achnatherum splendens ","GE",28,"Rhizosphere_Achnatherum splendens ","RJ.G28J"
"112","RJG28J4","Rhizosphere","Achnatherum splendens ","GE",28,"Rhizosphere_Achnatherum splendens ","RJ.G28J"
"113","RJG36D1","Rhizosphere","Stipa grandis","GE",36,"Rhizosphere_Stipa grandis","RJ.G36D"
"114","RJG36D2","Rhizosphere","Stipa grandis","GE",36,"Rhizosphere_Stipa grandis","RJ.G36D"
"115","RJG36D3","Rhizosphere","Stipa grandis","GE",36,"Rhizosphere_Stipa grandis","RJ.G36D"
"116","RJG36D4","Rhizosphere","Stipa grandis","GE",36,"Rhizosphere_Stipa grandis","RJ.G36D"
"117","RJG36G1","Rhizosphere","Stipa przewalskyi ","GE",36,"Rhizosphere_Stipa przewalskyi ","RJ.G36G"
"118","RJG36G2","Rhizosphere","Stipa przewalskyi ","GE",36,"Rhizosphere_Stipa przewalskyi ","RJ.G36G"
"119","RJG36G3","Rhizosphere","Stipa przewalskyi ","GE",36,"Rhizosphere_Stipa przewalskyi ","RJ.G36G"
"120","RJG36G4","Rhizosphere","Stipa przewalskyi ","GE",36,"Rhizosphere_Stipa przewalskyi ","RJ.G36G"
